anomaly_id,pillar,pattern_name,prevalence_pct,n_affected,description,interpretation
ANO-GOV-01,governance,Decentralised label with company ownership,0.0,0,Co-occurrence of maximum decentralisation score with corporate ownership—suggests definitional overlap between product marketing and control reality.,"Discuss legal wrappers, token distribution, and whether 'decentralised' refers to protocol vs operator."
ANO-GOV-02,governance,Governance token type but team-controlled process,0.0,0,Tokens classified as governance assets while formal governance remains team-steered.,Useful tension for token design vs participation narratives; not an error but a structural pattern.
ANO-GOV-03,governance,Centralised decentralisation score with on-chain token governance,1.47,1,On-chain voting exists while overall decentralisation is labelled centralised—often upgradeability or off-chain execution.,"Interpret via timelocks, multisigs, and scope of on-chain votes."
ANO-GOV-04,governance,DAO ownership without formal governance enum,0.0,0,Ownership attributed to a DAO while governance type is recorded as none.,"May reflect data lag, informal governance, or classification edge cases."
ANO-MKT-01,market,High market cap per active wallet (top decile among measured),10.29,7,Valuation per user in the top decile relative to the strict sample—signals speculative depth or thin active-user bases.,Compare to category norms; avoid single-name attribution at thesis level.
ANO-MKT-02,market,Protocol TVL multiples above token market cap,8.82,6,"TVL materially exceeds floated valuation—common for wrappers, staking, or measurement timing effects.","Discuss leverage, double-counting, and snapshot mismatch between DeFi metrics and equity-like mcap."
ANO-MKT-03,market,Unfunded rows above funded median market cap,29.41,20,Share of zero-raised DApps whose market cap exceeds the median of funded peers in the same strict universe.,Highlights retail-driven or organic listings vs VC-funded cohorts.
ANO-ADP-01,behaviour,Centralised label with very high user counts,2.94,2,Some of the most popular DApps by active wallets are labelled centralised — users flock to them regardless of governance model.,"Adoption is driven by product quality and network effects, not decentralisation claims. Challenges the assumption that users care about governance."
ANO-PARA-01,governance,The decentralisation paradox at scale,86.76,59,"In the strict sample, 86.8% of DApps are NOT fully decentralised, despite being built on decentralised infrastructure.",The blockchain layer is decentralised but the application layer remains centralised — raising the question of whether DApp decentralisation is achievable or even desired by builders.
ANO-ENG-01,ecosystem,Gaming vs DeFi engagement gap,79.41,54,"Gaming attracts 12,670,611 users with low per-user value; DeFi processes $299.1B volume. The value-per-user gap exceeds 100x between these sectors.",User counts alone are misleading as a success metric. A DApp with 1M gaming users may generate less economic activity than a DEX with 10K traders.
ANO-CHAIN-01,ecosystem,Multi-chain deployment correlates with higher valuation,70.59,48,70.6% of the strict sample deploys multi-chain. Legacy analysis shows a 1.3x market cap premium for multi-chain DApps.,Unclear whether multi-chain causes growth or is simply affordable only for already-successful projects. Survivorship bias may inflate the premium.
