name,dapp_sector,dapp_category,sub_category,is_active,is_multi_chain,governance_type,ownership_status,level_of_decentralisation,research_comments,tags,token_symbol,token_type,website,launch_date,chains,raised_capital,tvl,tvl_ratio,market_cap,circulating_supply,total_supply,price,users,volume,transactions,total_liquidity_usd,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,liquidity_usd,gov_numeric,own_numeric,decent_numeric,governance_score,chain_count,market_cap_norm,users_norm,tvl_norm,market_maturity,volatility_index,liquidity_efficiency,tx_per_user,volume_per_user,market_cap_per_user,has_token,token_type_clean,token_type_primary,is_governance_token,is_utility_token,is_reward_token,is_multi_type_token,is_defi,is_prediction_market,is_rwa,is_ai,is_depin,is_gaming,is_social,activity_signal_count,governance_complete,data_completeness_score,eligible_loose,analysis_eligible,primary_sub_tag,in_primary_cohort,in_secondary_cohort,primary_cohort_id,secondary_cohort_id
Raydium,exchanges,DEX,"AMM DEX, Token Launchpad, DAO Tooling, Perpetuals",True,False,ONCHAIN_TOKEN_GOVERNANCE,MIXED,SEMI_DECENTRALIZED,"Uses on-chain SPL Governance/Realms with multisig execution, but history of privileged admin keys and upgradeability keeps it semi-decentralized","decentralized-exchange-dex-token, defi, amm, dex, solana-ecosystem, petrock-capital-portfolio, binance-ecosystem, binance-listing, Decentralized Exchange (DEX), Decentralized Finance (DeFi), Yield Farming, Automated Market Maker (AMM), Solana Ecosystem, Launchpad, GMCI DeFi Index, GMCI Index, Exchange-based Tokens, Perpetuals",RAY,GOVERNANCE,https://raydium.io/,,solana,0.0,1414503697.0,0.20843626,294254884.1,268277269.6,554997869.6,1.098989367,10268052,114646345.4,116827402,2.97301551,5.61935525,-8.77275019,-38.33618427,-56.79310278,-67.49252451,1471196068.0,2973015.5100000002,5,2.0,1,0.6833333333333333,1,19.499956905836008,16.144547982627163,21.07004456305384,0.9267256155485615,245199374.16898617,4.807069562588103,11.377757144198334,11.165345228091951,28.657323131982583,True,GOVERNANCE,GOVERNANCE,True,False,False,False,True,False,False,False,False,False,False,5,True,1.0,True,True,AMM DEX,True,True,exchanges::DEX,exchanges::DEX::AMM DEX
Pump.fun,defi,DEX,"AMM DEX, Social, SocialFi, Token Launchpad",True,False,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Memecoin launchpad on Solana; charges trading fees; token (PUMP) exists and is tracked on major token trackers.,"Pools, Token Launch Platforms, DeFi, Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, Launchpad, Meme, Exchange-based Tokens, SocialFi, Automated Market Maker (AMM)",PUMP,UTILITY,https://pump.fun/,,solana,0.0,206894583.0,0.0,1918265106.0,354000000000.0,999989424215.0,0.0054057,7076435,900054226.7,260156210,0.0,13.23424,43.41579,58.26336,0.0,0.0,,0.0,1,0.0,0,0.06666666666666667,1,21.37468702439831,15.772280949096197,19.1477199654761,0.9310051714876171,19.152231666666665,0.10785505212646035,36.763739086135885,127.19034749842258,271.0778952961484,True,UTILITY,UTILITY,False,True,False,False,True,False,False,False,False,False,False,5,True,1.0,True,True,AMM DEX,True,True,defi::DEX,defi::DEX::AMM DEX
KGeN,games,NFT marketplace,"Play 2 Earn, Analytics, Identity, NFT Marketplace",True,True,HYBRID,FOUNDATION_OWNED,SEMI_DECENTRALIZED,Gaming/reward distribution protocol; token used for ecosystem incentives and governance-style participation; operated via a foundation-led setup with partial decentralised elements.,"NFT, Social, Games, Play to Earn, Marketplaces, research, analytics, platform, smart-contracts, dapp, ethereum-ecosystem, layer-2, base-ecosystem, BNB Chain Ecosystem, Decentralized Identifier (DID), Binance Alpha Spotlight",KGEN,UTILITY,https://kgen.io,,"base,bnb-chain,zksync-era,polygon,ethereum,optimism,kaia",13.5,0.0,,38162795.0,198677778.0,1000000000.0,0.192016,6057299,5700537.55,15986713,,16.17333,-6.17318,-37.50932,,,,,3,1.0,1,0.44999999999999996,7,17.457371672300464,15.616774714206576,0.0,0.6168852919381628,9.975971666666668,0.0,2.6392477901454097,0.9411022222941281,6.300299027668933,True,UTILITY,UTILITY,False,True,False,False,False,False,False,False,False,True,False,4,True,0.9,True,True,Play 2 Earn,True,True,games::NFT marketplace,games::NFT marketplace::Play 2 Earn
Uniswap V3,exchanges,DEX,"Cross-chain DEX, DAO Tooling, Farming, Yield Optimizer",True,True,DAO_WITH_TIMELOCK,MIXED,DECENTRALIZED,UNI holders govern via on-chain Governor + timelock; execution is binding and widely distributed,"decentralized-exchange-dex-token, defi, dao, ethereum-ecosystem, yield-farming, amm, coinbase-ventures-portfolio, three-arrows-capital-portfolio, governance, heco-ecosystem, avalanche-ecosystem, solana-ecosystem, blockchain-capital-portfolio, defiance-capital-portfolio, alameda-research-portfolio, a16z-portfolio, pantera-capital-portfolio, parafi-capital, paradigm-portfolio, polygon-ecosystem, terra-ecosystem, near-protocol-ecosystem, arbitrum-ecosystem, cmc-crypto-awards-2024, gnosis-chain-ecosystem, sora-ecosystem, hoo-smart-chain-ecosystem, made-in-america, binance-ecosystem, binance-listing",UNI,GOVERNANCE,https://app.uniswap.org/#/swap,,"arbitrum,avalanche,base,bnb-chain,boba-eth,celo,ethereum,optimism,polygon,soneium,unichain",0.0,,,0.0,630330527.7,1000000000.0,6.328548069,5476079,124178464994.0,10042626,1.20118674,3.51059977,-13.49528887,1.81516797,-14.15096932,-35.29100476,2067645331.0,1201186.74,6,2.0,2,0.8999999999999999,11,0.0,15.515900074487561,0.0,0.28831838632801465,344607566.54383844,,1.8339081667740733,22676.5291359018,0.0,True,GOVERNANCE,GOVERNANCE,True,False,False,False,True,False,False,True,False,False,False,3,True,0.8,True,False,Cross-chain DEX,False,False,,
World of Dypians,games,NFT marketplace,"Play 2 Earn, Metaverse, NFT Marketplace",True,True,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,"Token-holder voting exists, but execution and game ops remain with the studio","NFT, Metaverse, Games, Play to Earn, collectibles-nfts, gaming, bnb-chain-ecosystem, binance-alpha, binance-alpha-airdrops, binance-ecosystem, Gaming (GameFi), BNB Chain Ecosystem, RPG, MMO",WOD,REWARD,https://www.worldofdypians.com/,,"base,bnb-chain,ethereum,core,skale-nebula,opbnb,sei,matchain,immutablezkevm,other,viction",0.0,0.0,,17766422.0,336168637.0,1000000000.0,0.0628753631,3779236,414029.83,45483142,3.54418424,1.00768225,-0.17041719,64.00874692,-42.01649103,10.21203222,,3544184.2399999998,2,0.0,1,0.2833333333333333,11,16.692820885552152,15.14503269536909,0.0,0.5938117303925416,19.56922826833333,0.0,12.035009721541602,0.10955384368692508,4.701061801909169,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,4,True,0.9,True,True,Play 2 Earn,True,True,games::NFT marketplace,games::NFT marketplace::Play 2 Earn
Kawaii Puzzle,games,NFT Gaming,"Play 2 Earn, Social",True,False,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,"Casual puzzle/decor game on Sei ecosystem; litepaper mentions staking Kawaii Token (KWT) and DAO voting/rewards. Governance appears community-influenced but not fully decentralized. Sources: kawaiipuzzle.games, DappRadar, litepaper (PDF).","NFT, Social, Games, Play to Earn",KWT,REWARD,https://kawaiipuzzle.games/,,sei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3151993,0.0,9463906,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,0.0,1,0.2833333333333333,1,0.0,14.963545826404795,0.0,0.2780544709428863,0.0,,3.0025149167526703,0.0,0.0,True,REWARD,REWARD,False,False,True,False,False,False,False,False,False,True,False,2,True,0.7,True,False,Play 2 Earn,False,False,,
Jupiter Exchange,defi,DEX,"DeFi, Lending, Governance, Analytics",True,False,ONCHAIN_TOKEN_GOVERNANCE,DAO_OWNED,DECENTRALIZED,"Solana DEX aggregator / DeFi superapp; JUP token used for governance via Jup DAO voting portal. Sources: jup.ag, vote.jup.ag, CoinMarketCap.",,JUP,GOVERNANCE,https://jup.ag,,solana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3044937,373654909.7,86225650,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5,3.0,2,0.9333333333333333,1,0.0,14.928991097670893,0.0,0.27741237067279356,0.0,,28.31771232048479,122.71351088708896,0.0,True,GOVERNANCE,GOVERNANCE,True,False,False,False,True,False,False,False,False,False,False,3,True,0.8,True,False,DeFi,False,False,,
Hot Spring - The Cozy World,games,NFT Gaming,"Play 2 Earn, Social, AI Gaming",True,False,HYBRID,COMPANY_OWNED,SEMI_DECENTRALIZED,"Cozy World/Hot Spring gaming ecosystem on Sei; docs describe $SPRING as utility + governance token, with $COZY used across ecosystem and future governance/community voting. Sources: hotspring.games docs, Messari (Sei Q2 2025).","NFT, Social, AI, Games, Play to Earn",SPRING,REWARD,https://hotspring.games/,,sei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2924351,0.0,8779437,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,0.0,1,0.35,1,0.0,14.888583475643285,0.0,0.27666151121105287,0.0,,3.002183048478107,0.0,0.0,True,REWARD,REWARD,False,False,True,False,False,False,False,True,False,True,False,2,True,0.7,True,False,Play 2 Earn,False,False,,
Uniswap V2,exchanges,DEX,"AMM DEX, DAO Tooling, Farming, Yield Optimizer",True,True,DAO_WITH_TIMELOCK,MIXED,DECENTRALIZED,Protocol is immutable with fee switch under DAO timelock; decentralization is high at protocol level,"decentralized-exchange-dex-token, defi, dao, ethereum-ecosystem, yield-farming, amm, coinbase-ventures-portfolio, three-arrows-capital-portfolio, governance, heco-ecosystem, avalanche-ecosystem, solana-ecosystem, blockchain-capital-portfolio, defiance-capital-portfolio, alameda-research-portfolio, a16z-portfolio, pantera-capital-portfolio, parafi-capital, paradigm-portfolio, polygon-ecosystem, terra-ecosystem, near-protocol-ecosystem, arbitrum-ecosystem, cmc-crypto-awards-2024, gnosis-chain-ecosystem, sora-ecosystem, hoo-smart-chain-ecosystem, made-in-america, binance-ecosystem, binance-listing",UNI,GOVERNANCE,https://app.uniswap.org/,,"base,ethereum,soneium,unichain",0.0,,,0.0,630330527.7,1000000000.0,6.328548069,2828838,31023103879.0,9144862,1.20118674,3.51059977,-13.49528887,1.81516797,-14.15096932,-35.29100476,1259089083.0,1201186.74,6,2.0,2,0.8999999999999999,4,0.0,14.85537693809513,0.0,0.2760444631973725,209848191.87717178,,3.232727360138686,10966.7304663611,0.0,True,GOVERNANCE,GOVERNANCE,True,False,False,False,True,False,False,False,False,False,False,3,True,0.8,True,False,AMM DEX,False,False,,
Dmail Network,collectibles,NFT marketplace,"NFT Marketplace, Marketplace, Privacy, Social",True,True,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,DAO is planned/partial; today core team runs network and execution,"Layer 2, NFT, Social, Marketplaces, communications-social-media, privacy, ethereum-ecosystem, storage, social-money, web3, bnb-chain-ecosystem, internet-computer-ecosystem, zksync-era-ecosystem, linea-ecosystem, depin, Communication, SocialFi, BNB Chain Ecosystem",DMAIL,UTILITY,https://dmail.ai/,,"bnb-chain,ethereum,boba-eth,skale-calypso,icp,soneium,zksync-era,mantle,opbnb,zetachain,matchain,arbitrum,base,ton,solana,core,optimism,linea,starknet,lisk",0.0,0.0,,3718989.0,122905634.1,200000000.0,0.007419516052,2088315,13704.56,10663364,1.66437918,-5.18402806,-34.77712708,-73.1006199,-77.16991355,-77.34959476,,1664379.1800000002,1,0.0,1,0.21666666666666667,20,15.128962684008728,14.551868557529941,0.0,0.5535238693267441,44.59688055833334,0.0,5.106204763170307,0.006562496558229961,1.7808563363285712,True,UTILITY,UTILITY,False,True,False,False,False,False,False,False,True,False,False,4,True,0.9,True,True,NFT Marketplace,True,True,collectibles::NFT marketplace,collectibles::NFT marketplace::NFT Marketplace
