name,dapp_sector,dapp_category,sub_category,is_active,is_multi_chain,governance_type,ownership_status,level_of_decentralisation,research_comments,tags,token_symbol,token_type,website,launch_date,chains,raised_capital,tvl,tvl_ratio,market_cap,circulating_supply,total_supply,price,users,volume,transactions,total_liquidity_usd,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d
Raydium,exchanges,DEX,"AMM DEX, Token Launchpad, DAO Tooling, Perpetuals",TRUE,FALSE,ONCHAIN_TOKEN_GOVERNANCE,MIXED,SEMI_DECENTRALIZED,"Uses on-chain SPL Governance/Realms with multisig execution, but history of privileged admin keys and upgradeability keeps it semi-decentralized","decentralized-exchange-dex-token, defi, amm, dex, solana-ecosystem, petrock-capital-portfolio, binance-ecosystem, binance-listing, Decentralized Exchange (DEX), Decentralized Finance (DeFi), Yield Farming, Automated Market Maker (AMM), Solana Ecosystem, Launchpad, GMCI DeFi Index, GMCI Index, Exchange-based Tokens, Perpetuals",RAY,GOVERNANCE,https://raydium.io/,,solana,0,1414503697,0.20843626,294254884.1,268277269.6,554997869.6,1.098989367,10268052,114646345.4,116827402,2.97301551,5.61935525,-8.77275019,-38.33618427,-56.79310278,-67.49252451,1471196068
Pump.fun,defi,DEX,"AMM DEX, Social, SocialFi, Token Launchpad",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Memecoin launchpad on Solana; charges trading fees; token (PUMP) exists and is tracked on major token trackers.,"Pools, Token Launch Platforms, DeFi, Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, Launchpad, Meme, Exchange-based Tokens, SocialFi, Automated Market Maker (AMM)",PUMP,UTILITY,https://pump.fun/,,solana,0,206894583,0,1918265106,354000000000,999989424215,0.0054057,7076435,900054226.7,260156210,0,13.23424,43.41579,58.26336,0,0,
KGeN,games,NFT marketplace,"Play 2 Earn, Analytics, Identity, NFT Marketplace",TRUE,TRUE,HYBRID,FOUNDATION_OWNED,SEMI_DECENTRALIZED,Gaming/reward distribution protocol; token used for ecosystem incentives and governance-style participation; operated via a foundation-led setup with partial decentralised elements.,"NFT, Social, Games, Play to Earn, Marketplaces, research, analytics, platform, smart-contracts, dapp, ethereum-ecosystem, layer-2, base-ecosystem, BNB Chain Ecosystem, Decentralized Identifier (DID), Binance Alpha Spotlight",KGEN,UTILITY,https://kgen.io,,"base,bnb-chain,zksync-era,polygon,ethereum,optimism,kaia",13.5,0,,38162795,198677778,1000000000,0.192016,6057299,5700537.55,15986713,,16.17333,-6.17318,-37.50932,,,
Uniswap V3,exchanges,DEX,"Cross-chain DEX, DAO Tooling, Farming, Yield Optimizer",TRUE,TRUE,DAO_WITH_TIMELOCK,MIXED,DECENTRALIZED,UNI holders govern via on-chain Governor + timelock; execution is binding and widely distributed,"decentralized-exchange-dex-token, defi, dao, ethereum-ecosystem, yield-farming, amm, coinbase-ventures-portfolio, three-arrows-capital-portfolio, governance, heco-ecosystem, avalanche-ecosystem, solana-ecosystem, blockchain-capital-portfolio, defiance-capital-portfolio, alameda-research-portfolio, a16z-portfolio, pantera-capital-portfolio, parafi-capital, paradigm-portfolio, polygon-ecosystem, terra-ecosystem, near-protocol-ecosystem, arbitrum-ecosystem, cmc-crypto-awards-2024, gnosis-chain-ecosystem, sora-ecosystem, hoo-smart-chain-ecosystem, made-in-america, binance-ecosystem, binance-listing",UNI,GOVERNANCE,https://app.uniswap.org/#/swap,,"arbitrum,avalanche,base,bnb-chain,boba-eth,celo,ethereum,optimism,polygon,soneium,unichain",0,,,0,630330527.7,1000000000,6.328548069,5476079,124178464994,10042626,1.20118674,3.51059977,-13.49528887,1.81516797,-14.15096932,-35.29100476,2067645331
World of Dypians,games,NFT marketplace,"Play 2 Earn, Metaverse, NFT Marketplace",TRUE,TRUE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,"Token-holder voting exists, but execution and game ops remain with the studio","NFT, Metaverse, Games, Play to Earn, collectibles-nfts, gaming, bnb-chain-ecosystem, binance-alpha, binance-alpha-airdrops, binance-ecosystem, Gaming (GameFi), BNB Chain Ecosystem, RPG, MMO",WOD,REWARD,https://www.worldofdypians.com/,,"base,bnb-chain,ethereum,core,skale-nebula,opbnb,sei,matchain,immutablezkevm,other,viction",0,0,,17766422,336168637,1000000000,0.0628753631,3779236,414029.83,45483142,3.54418424,1.00768225,-0.17041719,64.00874692,-42.01649103,10.21203222,
Kawaii Puzzle,games,NFT Gaming,"Play 2 Earn, Social",TRUE,FALSE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,"Casual puzzle/decor game on Sei ecosystem; litepaper mentions staking Kawaii Token (KWT) and DAO voting/rewards. Governance appears community-influenced but not fully decentralized. Sources: kawaiipuzzle.games, DappRadar, litepaper (PDF).","NFT, Social, Games, Play to Earn",KWT,REWARD,https://kawaiipuzzle.games/,,sei,0,0,0,0,0,0,0,3151993,0,9463906,0,0,0,0,0,0,
Jupiter Exchange,defi,DEX,"DeFi, Lending, Governance, Analytics",TRUE,FALSE,ONCHAIN_TOKEN_GOVERNANCE,DAO_OWNED,DECENTRALIZED,"Solana DEX aggregator / DeFi superapp; JUP token used for governance via Jup DAO voting portal. Sources: jup.ag, vote.jup.ag, CoinMarketCap.",,JUP,GOVERNANCE,https://jup.ag,,solana,0,0,0,0,0,0,0,3044937,373654909.7,86225650,0,0,0,0,0,0,
Hot Spring - The Cozy World,games,NFT Gaming,"Play 2 Earn, Social, AI Gaming",TRUE,FALSE,HYBRID,COMPANY_OWNED,SEMI_DECENTRALIZED,"Cozy World/Hot Spring gaming ecosystem on Sei; docs describe $SPRING as utility + governance token, with $COZY used across ecosystem and future governance/community voting. Sources: hotspring.games docs, Messari (Sei Q2 2025).","NFT, Social, AI, Games, Play to Earn",SPRING,REWARD,https://hotspring.games/,,sei,0,0,0,0,0,0,0,2924351,0,8779437,0,0,0,0,0,0,
Uniswap V2,exchanges,DEX,"AMM DEX, DAO Tooling, Farming, Yield Optimizer",TRUE,TRUE,DAO_WITH_TIMELOCK,MIXED,DECENTRALIZED,Protocol is immutable with fee switch under DAO timelock; decentralization is high at protocol level,"decentralized-exchange-dex-token, defi, dao, ethereum-ecosystem, yield-farming, amm, coinbase-ventures-portfolio, three-arrows-capital-portfolio, governance, heco-ecosystem, avalanche-ecosystem, solana-ecosystem, blockchain-capital-portfolio, defiance-capital-portfolio, alameda-research-portfolio, a16z-portfolio, pantera-capital-portfolio, parafi-capital, paradigm-portfolio, polygon-ecosystem, terra-ecosystem, near-protocol-ecosystem, arbitrum-ecosystem, cmc-crypto-awards-2024, gnosis-chain-ecosystem, sora-ecosystem, hoo-smart-chain-ecosystem, made-in-america, binance-ecosystem, binance-listing",UNI,GOVERNANCE,https://app.uniswap.org/,,"base,ethereum,soneium,unichain",0,,,0,630330527.7,1000000000,6.328548069,2828838,31023103879,9144862,1.20118674,3.51059977,-13.49528887,1.81516797,-14.15096932,-35.29100476,1259089083
Dmail Network,collectibles,NFT marketplace,"NFT Marketplace, Marketplace, Privacy, Social",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,DAO is planned/partial; today core team runs network and execution,"Layer 2, NFT, Social, Marketplaces, communications-social-media, privacy, ethereum-ecosystem, storage, social-money, web3, bnb-chain-ecosystem, internet-computer-ecosystem, zksync-era-ecosystem, linea-ecosystem, depin, Communication, SocialFi, BNB Chain Ecosystem",DMAIL,UTILITY,https://dmail.ai/,,"bnb-chain,ethereum,boba-eth,skale-calypso,icp,soneium,zksync-era,mantle,opbnb,zetachain,matchain,arbitrum,base,ton,solana,core,optimism,linea,starknet,lisk",0,0,,3718989,122905634.1,200000000,0.007419516052,2088315,13704.56,10663364,1.66437918,-5.18402806,-34.77712708,-73.1006199,-77.16991355,-77.34959476,
